provider,file_stem,EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,20/10/2023,02:29:23,QUE PAIS E ESSE,,4ª TEMPORADA,,GLOBO,,,15,OPINIAO,MUSICA COMERCIAL,ZE KETI,SAMANTHA SCHMUTZ,14,PE,,CORISCO,,,,opiniao,samantha schmutz,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,PIPOCA DA IVETE 2023,PIPOCA DA IVETE,22/10/2023,14:19:35,6,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,34,SAMURAI,MUSICA COMERCIAL,DJAVAN,MARCOS OOURUN,115,PE,,LUANDA,,,,samurai,marcos oourun,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,SANTA MISSA,SANTA MISSA,22/10/2023,05:59:00,22102023,,,,GLOBO,2023.0,ALI KAMEL,11,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,159,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,25/10/2023,03:01:32,VIRGEM DE 40 ANOS,,7ª TEMPORADA,,GLOBO,,,6,FULERAGEM,MUSICA COMERCIAL,"DJ GEGE,MC WM",MC WM,11,BK,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,fuleragem,mc wm,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,ENCONTRO,,27/10/2023,09:29:40,2910,,,,GLOBO,,,15,TO COM SAUDADE,MUSICA COMERCIAL,"LUIZ CLAUDIO PICOLE,PRATEADO",RODRIGUINHO,66,PE,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,to com saudade,rodriguinho,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,MAIS VOCE,MAIS VOCÊ,27/10/2023,10:34:40,5935,,,,GLOBO,2023.0,VIVI DE MARCO,3,SAMURAI,MUSICA COMERCIAL,DJAVAN,DJAVAN,12,BK,,LUANDA,,,,samurai,djavan,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,MAIS VOCE,MAIS VOCÊ,27/10/2023,10:34:40,5935,,,,GLOBO,2023.0,VIVI DE MARCO,6,SE,MUSICA COMERCIAL,DJAVAN,DJAVAN,6,BK,,LUANDA,LUANDA,,,se,djavan,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,FAVELA SOUNDS,,28/10/2023,14:53:38,28102023,,DF,,GLOBO,,,6,SALVE,MUSICA COMERCIAL,"TASHA,TRACIE",TASHA E TRACIE,44,PE,,"A DESCOBRIR,A DESCOBRIR",,,,salve,tasha e tracie,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,29/10/2023,18:05:50,112,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,126,MAE,MUSICA COMERCIAL,CHICO CHICO,CHICO CHICO,199,BK,,WARNER CHAPPELL,SELIM DE MUSICA,,,mae,chico chico,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,ESPORTE ESPETACULAR,ESPORTE ESPETACULAR,29/10/2023,10:00:04,29102023,,BLOCO SP,,GLOBO,2023.0,ALI KAMEL,49,MINHA EX,MUSICA COMERCIAL,MC BIN LADEN,MC BIN LADEN,11,DM,,A DESCOBRIR,,,,minha ex,mc bin laden,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,71,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,9,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,304,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,11,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,FANTASTICO,FANTÁSTICO,29/10/2023,20:30:41,2610,,,,GLOBO,2023.0,ALI KAMEL,314,PODEROSA,MUSICA COMERCIAL,NELSON KAE,THIAGUINHO,74,PE,,WARNER CHAPPELL,,,,poderosa,thiaguinho,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,O MELHOR DA RESENHA,,29/10/2023,23:41:02,29102023,,DF,,GLOBO,,,16,VOCE DE VOLTA,MUSICA COMERCIAL,MARCO AURELIO FERREIRA,"LYANE MELLO,VICTOR GREGORIO E MARCO AURELIO",101,PE,,REDE PURA,,,,voce de volta,"lyane mello,victor gregorio e marco aurelio",True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,SANTA MISSA,SANTA MISSA,29/10/2023,06:16:34,29102023,,,,GLOBO,2023.0,ALI KAMEL,10,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,270,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,SANTA MISSA,SANTA MISSA,29/10/2023,06:16:34,29102023,,,,GLOBO,2023.0,ALI KAMEL,11,DESERTO,MUSICA COMERCIAL,ANDERSON FREIRE,PADRE MARCELO ROSSI,69,PE,,A DESCOBRIR,,,,deserto,padre marcelo rossi,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,30/10/2023,03:10:41,ESPECULACAO IMOBILIARIA,,4ª TEMPORADA,,GLOBO,,,2,BAILE DE FAVELA,MUSICA COMERCIAL,MC JOAO,MC JOAO,68,BK,,SONY MUSIC PUBLISHING,,,,baile de favela,mc joao,True,MusicCueSheet_TvAberta_Out23
Canal Brasil,Relatorio_CanalBrasil_Jan24,Mídia,Canal,Data,Gênero,Programa,Episódio Nr.,Título da Obra,Autor(es),Intérprete(s),Editora(s),Tipo de Sincronização,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição,midia,,True,CanalBrasil_Janeiro24
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,SAUDADE,,,CHRYSTIAN JOSE PEREIRA DA SILVA NETO ( CHRYSTIAN ),IRMÃOS VITALE - 100%,,TALIS E WELINGTON,,,APARECIDA SERTANEJA,471,,,2024-01-21 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,saudade,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,LUA,,,JOAQUIM MOREIRA DA SILVA ( JOAQUIM MOREIRA ) / PEDRO PAULO DOS SANTOS ( PAULO GAUCHO ),PEERMUSIC - 50%/ UNIVERSAL 50%,,VINICIUS E ENZO,,,PROSA DE AMIGOS,163,,,2024-01-02 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,lua,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,LUA,,,JOAQUIM MOREIRA DA SILVA ( JOAQUIM MOREIRA ) / PEDRO PAULO DOS SANTOS ( PAULO GAUCHO ),PEERMUSIC - 50%/ UNIVERSAL 50%,,VINICIUS E ENZO,,,PROSA DE AMIGOS,163,,,2024-01-07 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,lua,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,PROPOSTA,,,ADEMAR BENEDITO DOS SANTOS ( ITAMARACA ) / CLAUDIO BALESTRO ( CLAUCO ),UNIVERSAL - 100%,,PEÃO CARREIRO E PRAIANO,,,TERRA DA PADROEIRA,894,,,2024-01-06 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,proposta,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,DESPEDIDA,,,DIREITOS RESERVADOS,SEM INFORMAÇÃO,,FOLIA DE REIS ESTRELA DE OURO,,,TERRA DA PADROEIRA,895,,,2024-01-13 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,despedida,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,UTOPIA,,,JOSE FERNANDES DE OLIVEIRA ( PE. ZEZINHO SCJ ),PAULINAS-COMEP - 100%,,SILVIO BRITO,,,TERRA DA PADROEIRA,896,,,2024-01-20 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,utopia,,True,Sincronização Musical
Aparecida,01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA,NOSSAS DIFERENÇAS,,,DOMINGOS AMARAI SABINO DA CUNHA ( AMARAI ) / WANDERLEY TARICANO,UNIVERSAL - 100%,,BELMONTE E AMARAÍ,,,TERRA DA PADROEIRA,897,,,2024-01-27 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,nossas diferencas,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,SAUDADE,,,CHRYSTIAN JOSE PEREIRA DA SILVA NETO ( CHRYSTIAN ),IRMÃOS VITALE - 100%,,ZÉ DAVELA E FABIANO,,,APARECIDA SERTANEJA,477,,,2024-03-03 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,saudade,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,TONY ANGELI,,,APARECIDA SERTANEJA,480,,,2024-03-24 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,ave maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,PAU MANDADO,,,GERALDO BARBOSA DUARTE ( PEAO DO VALE ) / TAYLOR TORRES,BGK FONOGRÁFICA,,PEÃO DO VALLE E VALENTIN,,,APARECIDA SERTANEJA,480,,,2024-03-24 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,pau mandado,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,THIAGO ARANCAM,,,APARECIDA SERTANEJA,481,,,2024-03-31 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,ave maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,UTOPIA ,,,JOSE FERNANDES DE OLIVEIRA ( PE. ZEZINHO SCJ ),PAULINAS-COMEP - 100%,,SILVIO BRITO,,,APARECIDA SERTANEJA,481,,,2024-03-31 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,utopia,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,AVE MARIA ,,,FRANZ SCHUBERT / WALTER SCOTT / WILLY UEBELHERR,BMG BRAZIL - 100%,,THIAGO ARANCAM,,,DE PAPO COM AMANDA FRANÇOZO,82,,,2024-03-09 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,ave maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,MARIA,,,FRANCISCO ANTONIO LOBO LEITE ( CHICO LOBO ),KUARUP PRODUÇÕES,,CHICO LOBO,,,LUAR DO SERTÃO,148,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,COM DIGITAL,maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,CASA DE CABOCLO,,,CARLOS EDUARDO FERREIRA OLIVEIRA ( CARLOS EDUARDO ) / GERALDO ANTONIO DE CARVALHO ( RICK ) / LAUDARCY RICARDO DE OLIVEIRA ( ALEXANDRE ),PEERMUSIC - 50% / WARNER - 50%,,PEDRO PAULO E PAULO VITOR,,,PROSA DE AMIGOS,214,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,SEM DIGITAL,casa de caboclo,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,AMANHÃ,,,GENILSON JOSE DE ARAUJO ( GENE ARAUJO ) / JORAN FERREIRA DA SILVA ( JORAN ),UNIVERSAL - 100%,,DHONATAN COELHO,,,PROSA DE AMIGOS,214,,,2024-03-12 00:00:00,PERFORMANCE,,INÉDITO,SEM DIGITAL,amanha,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,GANGORRA,,,JULIO CANDIDO GOMES ( RAMONCITO GOMES ),UNIVERSAL - 100%,,LÉO RIBEIRO E PYRANY,,,PROSA DE AMIGOS,212,,,2024-03-03 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,gangorra,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,CASA DE CABOCLO,,,CARLOS EDUARDO FERREIRA OLIVEIRA ( CARLOS EDUARDO ) / GERALDO ANTONIO DE CARVALHO ( RICK ) / LAUDARCY RICARDO DE OLIVEIRA ( ALEXANDRE ),PEERMUSIC - 50% / WARNER - 50%,,PEDRO PAULO E PAULO VITOR,,,PROSA DE AMIGOS,214,,,2024-03-17 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,casa de caboclo,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,AMANHÃ,,,GENILSON JOSE DE ARAUJO ( GENE ARAUJO ) / JORAN FERREIRA DA SILVA ( JORAN ),UNIVERSAL - 100%,,DHONATAN COELHO,,,PROSA DE AMIGOS,214,,,2024-03-17 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,amanha,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,MARIA,,,EUNICE BARBOSA DA SILVA ( EUNICE BARBOSA ) / MARIO LUCIO DA ROCHA E SILVA ( MARIO MARCOS ),PEERMUSIC - 100%,,PADRE ANTONIO MARIA,,,TERÇO DE APARECIDA - PE. ANTONIO MARIA,3236,,,2024-03-08 00:00:00,PERFORMANCE,,INÉDITO,SEM DIGITAL,maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,MARIA,,,EUNICE BARBOSA DA SILVA ( EUNICE BARBOSA ) / MARIO LUCIO DA ROCHA E SILVA ( MARIO MARCOS ),PEERMUSIC - 100%,,PADRE ANTONIO MARIA,,,TERÇO DE APARECIDA - PE. ANTONIO MARIA,3236,,,2024-03-08 00:00:00,PERFORMANCE,,REPRISE,SEM DIGITAL,maria,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,CHEGA,,,ADERSON ALVES DE OLIVEIRA ( ADERSON ALVES ) / ANTONIO JOSE SEVERINO ( HENOK ),PEERMUSIC,,LEO BUENO E JÚLIO CÉSAR,,,TERRA DA PADROEIRA,903,,,2024-03-09 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,chega,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,PESADELO,,,JEAN MOREIRA / SERGIO DUTRA,SEM INFORMAÇÃO,,TOSTÃO SANFONEIRO E RAFAELA,,,TERRA DA PADROEIRA,903,,,2024-03-09 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,pesadelo,,True,Sincronização Musical
Aparecida,03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA,SAUDADE,,,CHRYSTIAN JOSE PEREIRA DA SILVA NETO ( CHRYSTIAN ),IRMÃOS VITALE - 100%,,SÁVIO E GUSTAVO,,,TERRA DA PADROEIRA,904,,,2024-03-16 00:00:00,PERFORMANCE,,REPRISE,COM DIGITAL,saudade,,True,Sincronização Musical
Band,band UNIFICADO out dez 2023 jan fev 2024,PROGRAMA DO JOÂO,2023-10-21,ESPELHO,MC DAVI,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,espelho,ronald dj / mc davi,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,PROGRAMA DO JOÂO,2023-10-21,BIPOLAR,MC DAVI / MC DON JUAN / MC PEDRINHO / DJ 900,RONALD DJ / MC DAVI,PE,747.38,52.3166,799.6966,,bipolar,ronald dj / mc davi,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,PROGRAMA DO JOÂO,2023-10-28,VERMELHO ,CHICO DA SILVA,CALOUROS,PE,747.38,52.3166,799.6966,,vermelho,calouros,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,PROGRAMA DO JOÂO,2023-10-28,LUA CHEIA,AMANDA CORONHA / BIBI / MAYRA / WANESSA CAMARGO,WANESSA CAMARGO,PE,747.38,52.3166,799.6966,,lua cheia,wanessa camargo,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,BAND ESPORTE CLUBE,2024-01-13,VAMOS FUGIR,GILBERTO GIL/LIMINHA,THE WAILERS BAND,BK,0.0,62.7795,62.7795,,vamos fugir,the wailers band,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,BAND ESPORTE CLUBE,2024-01-13,FINAL DE SEMANA,BLACK ALIEN/PAPATINHO/SEU JORGE,SEU JORGE / PAPATINHO E BLACK ALIEN,BK,0.0,62.7795,62.7795,,final de semana,seu jorge / papatinho e black alien,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,BAND ESPORTE CLUBE,2024-01-13,FELICIDADE,SEU JORGE/ PRETINHO DA SERRINHA/ GABRIEL MOURA/ LEANDRO FAB,SEU JORGE / ALEXANDRE PIRES,BK,0.0,62.7795,62.7795,,felicidade,seu jorge / alexandre pires,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,BAND ESPORTE CLUBE,2024-01-20,COBRA,FAR FROM ALASKA,FAR FROM ALASKA,BK,0.0,62.7795,62.7795,,cobra,far from alaska,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,IGREJA UNIDA DEUS PROVERÁ,2024-01-04,FINAL FELIZ,ROSE NASCIMENTO,MARCOS FELIPE,PE,747.38,0.0,747.38,,final feliz,marcos felipe,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,IGREJA UNIDA DEUS PROVERÁ,2024-01-17,FINAL FELIZ,ROSE NASCIMENTO,MARCOS FELIPE,PE,747.38,0.0,747.38,,final feliz,marcos felipe,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-03,MORENA,BRUNO DALLA MARTHA MARTINI / VITOR BARBIERO KLEY,A MELHOR BANDA DA NOITE,PE,0.0,52.3166,52.3166,,morena,a melhor banda da noite,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-03,NOBRE VAGABUNDO,MARCIO DE ABREU MELLO,A MELHOR BANDA DA NOITE,PE,0.0,52.3166,52.3166,,nobre vagabundo,a melhor banda da noite,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-04,GAME OVER,TEE LOPES,TEE LOPES,DM,0.0,73.2431,73.2431,,game over,tee lopes,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-05,CALMA RESPIRA,ANDRE MOREIRA / FABIANA GODOY DE CARVALHO E SILVA,FABIANA GODOY,DM,0.0,73.2431,73.2431,,calma respira,fabiana godoy,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-09,BRASILEIRO,EDILSON MORENO,CHICO SALLES,PE,373.69,26.16,399.8483,Reprise 28/08/2023,brasileiro,chico salles,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-22,SINAIS,LUAN SANTANA,LUAN SANTANA,DM,0.0,73.2431,73.2431,,sinais,luan santana,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-25,SAMPA,CAETANO VELOSO,FERNANDA PORTO                     ,BK,0.0,104.6332,104.6332,,sampa,fernanda porto,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-25,SAMPA,CAETANO VELOSO,CAETANO VELOSO,BK,0.0,104.6332,104.6332,,sampa,caetano veloso,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-25,SAMPA,CAETANO VELOSO,CAETANO VELOSO,DM,0.0,73.2431,73.2431,,sampa,caetano veloso,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-25,SAO PAULO,FERNANDA ABREU / FAUSTO FAWCETT,FERNANDA ABREU,BK,0.0,104.6332,104.6332,,sao paulo,fernanda abreu,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-26,NOCAUTE,ANDRÉ VOX / SAMUEL DEOLLI,JORGE E MATEUS,DM,0.0,73.2431,73.2431,,nocaute,jorge e mateus,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-29,MONALISA,JAY LIVINGSTON / RAY EVANS,NAT KING COLE,BK,0.0,104.6332,104.6332,,monalisa,nat king cole,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2024-01-30,ACABOU,MANNO GOES                         ,RICARDO CHAVES,BK,0.0,104.6332,104.6332,,acabou,ricardo chaves,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,PROGRAMA DO JOÂO,2024-01-06,ESPELHO,GAAB / MC HARIEL,MC HARIEL / DJ RONALD,PE,747.38,52.32,799.69,,espelho,mc hariel / dj ronald,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-12,MAGICA,FELIPE ARNA / NORMANI PELEGRINI / BAGUAL,HUGO E GUILHERME,PE,0.0,52.3166,52.3166,,magica,hugo e guilherme,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-19,MORENA,BRENO CESAR / DIEGO BARÃO / LUAN SANTANA / LUCAS SANTOS / SHYLTON FERNANDES,LUAN SANTANA,PE,0.0,52.3166,52.3166,,morena,luan santana,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-19,VINGANCA,DOUGLAS CEZAR,LUAN SANTANA,PE,0.0,52.3166,52.3166,,vinganca,luan santana,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-19,SINAIS,LUAN SANTANA,LUAN SANTANA,PE,0.0,52.3166,52.3166,,sinais,luan santana,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-19,DEJA VU,LUAN SANTANA / LUCAS SANTOS / MATHEUS ALEIXO / MATHEUS MARCOLINO,LUAN SANTANA,PE,0.0,52.3166,52.3166,,deja vu,luan santana,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-26,FOGUEIRA,JORGE ALVES,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,fogueira,jorge e mateus,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-26,LOGO EU,FELIPE RODRIGUES / SAMUEL DELMIR0O,REYNAN E RAYSSA,PE,0.0,52.3166,52.3166,,logo eu,reynan e rayssa,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-26,MISTERIO,KEVIN NASCIMENTO BUENO,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,misterio,jorge e mateus,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,VERÃO MAIOR PARANÁ,2024-01-26,NOCAUTE,PAULO MASSADAS / MIHAIL PLOPSCHI / MICHAEL SULLIVAN / IVANILTON DE SOUZA,JORGE E MATEUS,PE,0.0,52.3166,52.3166,,nocaute,jorge e mateus,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-01,AURORA BOREAL,RAEL,RAEL,PE,0.0,52.3166,52.3166,,aurora boreal,rael,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-11,ELEANOR RIGBY,JOHN LENNON / PAUL MC CARTNEY,A MELHOR BANDA DA NOITE,PE,0.0,52.3166,52.3166,,eleanor rigby,a melhor banda da noite,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-11,CHOCOLATE,TIM MAIA,TIM MAIA,BK,0.0,104.6332,104.6332,,chocolate,tim maia,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-11,PROPOSTA,LUIZ FELIPE DA SILVA BARROS / PEDRO FONSECA DE SOUZA FILHO,ANDREA LAIS / FELIPE BARROS / MESASONORA / NIVEA ARAUJO / PEDRO FONSECA,DM,0.0,73.2431,73.2431,,proposta,andrea lais / felipe barros / mesasonora / nivea araujo / pedro fonseca,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-11,CHOCOLATE,TIM MAIA,TIM MAIA,DM,0.0,73.2431,73.2431,,chocolate,tim maia,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-15,TEU SEGREDO,THIAGUINHO / FELIPE SAAB / BILLY SP,JEITO MOLEQUE                      ,PE,0.0,52.3166,52.3166,,teu segredo,jeito moleque,True,Relatorio_UBEM
Band,band UNIFICADO out dez 2023 jan fev 2024,MELHOR DA NOITE,2023-12-20,REVOADA,BRUNO OLIVIERI/ LUÍSA PITTA,TUKUM,DM,0.0,73.2431,73.2431,,revoada,tukum,True,Relatorio_UBEM
