title,author
A TROPA,T-931.214.622-8
A TROPA DE DAR PRAZER,T-324.578.951-5
A TROPA TE DAR PRAZER,
A TROPA VAI TE CARIMBAR,
A VACINA CHEGOU,T-303.646.216-1
A VERDADEIRA DOR (RAP DO PAIN),T-327.329.641-2
A VIDA BATE,
A VIDA COBRA,T-310.555.800-3
A VIDA CONTINUA,T-305.267.264-3
A VIDA NAO E ESSA,T-328.085.971-0
A VIDA NAO E SOPA,T-325.193.807-1
A VIDA QUE VOCÊ ME DEU,
A VIDA É BEM MELHOR A DOIS,T-302.347.076-6
A VIDA É UM VINHO BARATO,T-040.149.329-5
A VINGANÇA DO CHORÃO 3,T-330.774.831-4
A VOLANTE,T-039.316.091-2
A VOZ DO CORAÇÃO (KIZNAIVER),
A.C.M.,
A.R.T.E,T-313.642.501-5
A3,T-301.721.129-5
ABANDONO,T-039.243.730-7
ABATEDOURO,T-330.774.830-3
ABENÇOADO,T-317.707.397-7
ABERTURA,T-040.444.542-6
ABISMO,T-303.016.284-2
ABISMO,T-315.588.616-7
ABOIO PARA O LUAR,T-331.467.134-2
ABOIO PRA VIDA,T-040.035.487-1
ABORRECIMENTO,T-317.794.261-5
ABOVE YOUR HEAD,T-317.794.260-4
ABRACO,T-039.497.779-7
ABRAÃO - O PAI DA FÉ,T-327.396.806-8
ABRAÇO DO TEMPO,
ABRO A GELADEIRA,T-309.423.403-0
ABSURDO,T-307.415.897-3
ABYSS OF LOST SOULS,
ACABAR O ESTRESSE,T-305.264.576-4
ACABOU,T-039.497.780-0
ACABOU A ÁGUA,T-322.283.045-3
ACADEMIA ALPHA,T-312.557.257-4
ACALANTO E PAIXAO,T-039.168.340-1
ACAMPAMENTO,T-039.248.314-5
ACEITAR É O CARALHO,T-305.217.518-1
ACENDER II,
ACENDEU,T-039.741.123-2
ACID FOR BLOOD,
ACONCHEGOS,
ACORDEI SAFADA,T-309.991.452-6
ACORDES E SONS,
ACREDITAM EM TUDO,
ACREDITEI,T-311.571.553-8
ACUCAR,T-039.518.900-0
ACUSTICO ALTAMIRA #11 - ESCORPIANA,
ACUSTICO ALTAMIRA #13 - AMOR,
AD ASTRA,T-316.010.031-8
ADDICTED TO MOSH,T-308.121.964-5
ADELAIDE SUA BOBA,T-040.441.814-9
ADEPTO,T-310.344.147-6
ADESTRAMENTO,T-312.557.156-0
ADEUS,T-932.208.035-3
ADEUS,T-301.718.738-7
ADIOS SOPHIA,T-039.781.839-1
ADMIRAÇÃO,T-324.835.185-7
ADÃO: REFLEXO DIVINO,T-325.461.016-3
AEROXOTA,T-311.606.158-2
AFINACAO VIOLA CAIPIRA,T-040.076.564-1
AFONSINA,T-317.817.149-4
AFONSINHA,T-040.076.016-8
"AFROCYPHER, VOL. 7",
AFROKALIPSE,T-316.303.320-9
"AFROKALIPSE, O RETORNO",T-335.962.471-4
AFRONAUTA,T-316.329.275-5
AFRORREGAETON A BRASILEIRA,T-039.662.241-5
AFTER DO BRUXO,T-333.873.216-0
AFTER NUCLEAR DEVASTATION,T-308.121.957-6
AFTERMATCH,T-931.021.392-4
AGACHA E SOBE,T-322.821.223-1
AGAIN AND AGAIN,
AGAINST THE TIDE,T-320.125.982-3
AGDA,
AGDA - REMIX,T-315.589.501-1
AGONIA,T-313.250.438-8
AGORA,T-040.285.611-4
AGORA CRESCEU,T-306.928.598-5
AGORA E QUE SAO ELAS,T-042.153.607-3
AGORA E TARDE DEMAIS,T-039.168.112-1
AGORA FUDEU,T-306.358.176-6
AGORA O PAU VAI TORAR,T-306.794.532-4
AGORA VAI,T-313.255.747-8
AGORA É CACHORRA SAFADA,T-315.996.154-9
AGRADECE,T-040.279.886-0
AGRESSAO REPRESSAO,T-039.593.533-7
AGRESSIVIDADE,
AGRIDOCE,
AGÔ,
AH VIDA AVIDA,
AHH EU VOU TE BOTAR,T-327.279.655-7
AHHHH EU VOU ME MA RAVE FUNK,
AI AI AI,T-305.267.265-4
AI AI VOCÊ METE BEM DEMAIS,T-333.752.205-7
AI AMOR,
AI CALICA,T-317.817.146-1
AI CARAMBA,T-040.000.396-4
AI DO NADA ELA QUER SENTAR E NÃO PARA,T-327.279.654-6
AI MEU DEUS,T-321.150.629-1
AI MEU OVO,
AI MINHA BUCETINHA,T-300.975.411-0
AI QUE VONTADE DE METER,T-040.000.443-4
AI VEM VAI,T-930.847.133-2
AILIN ALEIXO,T-313.414.036-2
AINDA BEM QUE VOCÊ APARECEU: CHOPPER -,T-329.132.241-9
AINDA NÃO,T-313.414.032-8
AINDA TE ESPERO,T-039.167.676-8
AIR MAIL SURGERY,
AIZEN SOUSUKE: MANIPULAÇÃO,T-325.816.106-3
AJUDA,T-306.926.933-2
AJUDE,T-039.247.857-7
AK 47,T-313.413.921-8
AKI HAYAKAWA (CHAINSAW MAN),T-321.651.434-6
AKI HAYAKAWA: PRESO NO INVERNO,T-325.816.103-0
AKIRA TENDOU: EU ME SINTO LIVRE,T-325.816.101-8
ALAMEDAS,T-039.823.132-7
ALARME FALSO,T-317.794.250-2
ALBATROZ,T-301.567.099-8
ALBUM DE FOTOGRAFIA,T-039.971.451-2
ALCANÇANDO O CÉU COM OS PÉS NO CHÃO,
ALDEIA DA FOLHA,T-324.056.266-3
ALEGRIA DO POVO,T-325.193.817-3
ALEGRO PIRADISSIMO,T-315.728.916-8
ALELUIA,
ALEM MAR,T-040.076.556-1
ALEMÃO NÓS METE BALA,T-306.076.008-5
ALEPH,T-330.487.815-3
ALERTA ANTIFASCISTA,T-316.010.012-5
ALFABETO SELVAGEM,T-311.950.885-5
ALGO ERRADO,
ALGODAO,T-308.634.729-3
ALGODAO (INSTRUMENTAL),T-323.072.503-4
ALGODÃO INTERLÚDIO,T-322.010.799-9
ALGUEM NO CEU,T-042.035.844-6
ALGUEM TEM ISQUEIRO? 2,T-315.913.016-8
ALGUM DIA,T-306.925.931-6
ALGUÉM ACENDA ESSAS LUZES POR MIM,T-040.226.895-4
ALGUÉM TEM ISQUEIRO?,T-305.265.530-4
ALICERCES,
ALIEN,
ALIENACAO,T-039.748.715-8
ALINE,T-307.003.482-7
ALIVIANDO O STRESS,T-301.719.222-8
ALL I NEED,T-300.959.949-5
ALMA,T-300.966.231-7
ALMA INQUEBRÁVEL,
ALMAS EM COPOS DE VIDRO,T-334.542.345-8
ALMIRANTES TRAP,
ALMOST DEAD,T-040.081.802-1
ALMOÇANDO ABUTRES,T-330.774.711-7
ALO VIGIA,
ALOTRÓPICO,T-316.329.274-4
ALPHA E OMEGA,T-320.125.927-6
ALTA PERFOMANCE,T-317.794.248-8
ALTA PERFORMANCE,
ALTERED BEAST,T-320.125.926-5
ALTO DO CRUZEIRO,T-039.268.884-4
ALTO ESTIMA,T-039.247.869-1
ALUCINADA,
ALUCINADA,T-330.989.231-3
ALUGUEL,
ALVES BETS,T-315.906.861-4
ALVORADA,T-040.011.846-8
ALVORADA,
ALÉM DO EGO,
ALÉM DO REAL,
ALÔ AMOR,T-319.876.206-6
"ALÔ MEDINA, ALÔ NEYMAR",T-306.799.512-0
AMA PUTARIA,T-308.505.736-5
AMADA MENINA,
AMADURECER,T-301.562.279-0
AMALDIÇOADO,
AMALGAMA,T-039.948.016-0
AMANDO VOCE,
AMANHECER,T-040.285.612-5
AMANHECEU,T-040.456.368-3
AMANHECEU NUBLADO,
AMANHÃ,T-307.004.953-1
AMANHÃ EU FAÇO,T-327.440.924-0
AMANTE DO TEU MARIDO,
AMANTE EXTRAORDINÁRIO,T-306.856.759-5
AMARO WHITE,T-039.425.494-4
AMASSA - REMIX,
AMBIENTA,T-303.385.327-5
AMERICA,T-039.497.748-0
AMIGA BANDIDA,T-308.505.743-4
AMIGA PORRA NENHUMA,T-306.794.540-4
AMIGA QUE É AMIGA,
AMIGA TALARICA,T-304.709.732-1
AMIGA TALARICA,T-315.913.015-7
AMIGO,
AMIGO DO MEU EX,T-313.254.944-7
AMIGO LOCUTOR,
AMIGO NA FLORESTA,
AMIGOS VALEM MAIS DO QUE ASFALTO,T-040.506.446-1
AMIGOS.COM,T-305.710.995-8
AMIZADE COLORIDA,T-304.311.947-3
AMIZADE COLORIDA,T-312.549.818-8
AMONG THE SNAKES,T-328.725.839-9
AMOR DE DOIS,T-039.949.217-1
AMOR DE FEIRA,
AMOR DE MENTIRA,T-325.156.672-6
AMOR DE PAI,T-040.080.482-1
AMOR E ODIO,T-039.311.536-0
AMOR EM ALTO-MAR,
AMOR EU QUERO DA MINHA MÃE,
AMOR INCENDIÁRIO,T-040.507.369-9
AMOR NAO E DISPUTA,T-315.135.472-8
AMOR PERFUME,T-327.329.649-0
AMOR PESADO,T-040.347.912-8
AMOR PROIBIDO,T-301.988.996-0
AMOR PROIBIDO,T-306.795.614-9
AMOR QUE VEM E VAI,T-325.962.337-1
AMOR É UM (SKIT),T-311.949.967-7
AMOR É UM CARAIO,T-325.832.226-4
AMORA,
AMPARO,T-040.511.898-0
AMSTERDAM,T-301.577.146-3
AMULETO: BAJI KEISUKE (TOKYO REVENGERS),
AMÉM,T-301.719.223-9
ANA,
ANARCO-COPS,
ANCESTRAL,T-040.340.380-4
ANCHORAGE,T-040.106.200-7
ANCK-SU-NAMUN,
ANDANDO SOBRE PEDRAS,T-040.522.267-4
ANDARILHO,T-330.191.305-9
ANDARILHO DO SERTAO,
ANDROIDE PERFEITO,
ANESTESIA,T-040.429.751-3
ANGEL OF THE NIGHT,T-324.707.939-2
ANGELA'S GRACE,
ANGELS HAARP,T-040.106.201-8
ANGOLA,T-039.877.805-6
ANGÚSTIA NO OLHAR,T-334.542.340-3
ANIMA,T-039.497.775-3
ANIMAIS,T-309.640.384-4
ANIMAL SIDE,T-039.947.949-2
ANJO GABRIEL - O MENSAGEIRO,T-327.396.805-7
ANJOS,T-307.003.484-9
ANNA E EU,T-042.011.309-2
ANNE FRANK,
ANO NOVO,T-040.160.951-5
ANOHANA,
ANOITECEU,T-311.955.867-3
ANOMALIA,
ANOTA A PLACA (REMIX),
ANOTHER POINT OF VIEW,T-320.125.925-4
ANOTHER SOLUTION,
ANTES DA PRIMAVERA,
ANTES DA SAGA,T-040.348.478-5
ANTES DO BAILE,T-321.339.045-1
ANTES DO SOL SE PÔR,T-313.414.029-3
ANTES DOS MOUROS,T-039.268.873-1
ANTES QUE CENSUREM,T-300.980.218-6
ANTHROPOLOGICA N° 1,
ANTHROPOLOGICA N° 2,
ANTI MATÉRIA,T-316.009.698-6
ANTI-HERÓI: 14 ANTI-HERÓIS 1 RAP,T-325.816.095-7
ANTI-MODA,T-330.774.775-3
ANTONIO CERESER '93,T-300.960.773-8
ANTÍDOTO: DAVID (CYBERPUNK),
AO NORTE DO FIM DO MUNDO,T-310.338.196-6
AO SOM DA MARÉ,T-305.215.256-0
AOS 45,
AOS CAROS AMIGOS,T-325.193.696-2
AOS EXILADOS,
APACIDONATA,
APAIXONADA? QUE NADA,
APAIXONEI NA GLOCK (ARROCHADEIRA),
APERTEI O BOTÃO,T-308.505.749-0
APG SOCIETY,T-312.557.182-2
APOCALIPSE (A TERRA VAI TREMER),T-327.329.640-1
APOCALIPSE JEANS,T-040.348.477-4
APOCALIPSE PESSOAL,
APOCALYPSE ENGINE,T-308.121.956-5
APONTAMENTOS DE UM OTIMISTA RECEM,T-040.160.952-6
APONTE PRO ESPELHO,T-040.341.120-0
APOSTA BRUTAL,T-329.193.023-5
APOSTA GANHA,T-313.316.281-5
APOSTA GANHA 2,T-312.557.197-9
APOSTADOR BET,T-315.906.860-3
APOSTE SEMPRE,T-312.557.212-1
APOSTE SEMPRE NOSSO AMOR,T-312.557.229-0
APOTIGUAR ESPORTES,T-313.795.637-3
APRECIACAO,T-040.035.348-1
APRENDIZ,
APÓSTOLO PEDRO - QUEM DIZES QUE EU SOU?,T-327.396.804-6
AQUARELA,
AQUECIMENTO DA ACADEMIA,T-320.109.227-1
AQUECIMENTO DA BOND,T-321.150.628-0
AQUECIMENTO DA BOND - REMIX,T-321.150.627-9
AQUECIMENTO DA SANFONA,T-327.279.653-5
AQUECIMENTO PRA ELAS,
AQUECIMENTO TOMA TOMA,T-311.569.050-7
AQUELA MARQUINHA,T-301.575.213-9
AQUELA SORTE,T-311.570.924-1
AQUELAS,
AQUELAS COISAS,T-317.817.145-0
AQUELE QUE ENXERGA NO ESCURO (INTERLÚDIO),T-310.338.191-1
AQUELE QUE FAZ GOSTOSO,T-303.488.495-8
AQUELE SEGREDIN,T-317.358.612-0
AQUI,T-039.298.063-0
AQUI JAZZ,T-330.774.828-9
AQUI É SÓ PRAZER AMOR,T-323.105.004-3
AQUITAQUENTE,T-330.285.549-4
AR CONDICIONADO,T-311.594.394-3
AR CONDICIONADO PART 2,T-311.569.055-2
AR SORTEIOS DA SORTE,T-313.795.636-2
ARACNE,T-303.016.278-4
ARANHAVERSO,
ARARA AZUL,T-039.167.529-8
ARBITRARIA DISCRIMINACAO,
ARCANJO MIGUEL - QUEM É COMO DEUS?,T-327.330.054-8
ARCANJO RAFAEL - A CURA DE DEUS,T-327.396.803-5
ARCANJOS: RESPEITA O ARCANJO,T-327.329.631-0
AREIAS DE JERI,T-932.738.450-9
AREMIUQ (SÜLFÜR REMIX),T-303.113.515-2
ARENA CHAPADINHA,T-315.906.859-0
ARENA SFBET INVESTINDO NO ESPORTE,T-312.557.259-6
ARENA SFBETS,T-312.557.273-4
ARENA SÃO FRANCISCO,T-312.557.247-2
ARIA,T-039.168.254-4
ARIANA - ACUSTICO ALTAMIRA 4# - PELE,
ARMADILHA,
ARMADILHAS,T-306.856.460-9
ARO20,T-335.482.840-9
ARQUITETOS DA DESGRAÇA,T-932.331.967-1
ARRANCA DIU,T-315.996.153-8
ARRASTABLUES,T-040.035.485-9
ARREMEÇA,T-327.533.195-4
ARRUDA SO SANGUENARIO,T-040.143.716-8
ARTE DO SEXO,
ARTE DO SEXO,T-312.557.283-6
ARTE NO SEXO,T-306.926.934-3
ARTE RARA,
ARTIFÍCIOS,
ARTILLERY ATTACK,
ARTISTA VIAJANTE,
ARÁBIA DA COSMOLÂNDIA,T-327.279.652-4
ARÁBICA,T-040.432.386-9
AS CRIA DA FAVELA,T-305.217.317-4
AS FLORES DA SUA CABECA,T-325.193.729-4
AS FLORES E A ALEGRIA,T-317.794.247-7
AS HORAS,T-040.149.330-8
AS LASCAS DO QUARTZO ROSA,
AS MAQUINAS,T-325.193.813-9
AS MUITAS MANEIRAS DE ARRUINAR SUA VIDA,T-040.479.383-4
AS NEGA DE BOA VIAGEM,
AS NOVINHA DO XERECÃO,T-315.913.014-6
AS PALAVRAS,T-039.920.336-1
AS PALAVRAS NUNCA VOLTAM VAZIAS,
AS PESSOAS FAZEM MERDA ( MARCELO GRANJA,T-303.021.477-4
MARCELO GRANJA,MARCELO CARDOSO GRANJA DE ANDRADE
AS TERÇAS PODEM SE INVERTER,T-306.796.733-9
ESTEBAN,RODRIGO DA FONSECA TAVARES
AS VEZES,T-303.014.115-8
MANEIRINHO NA VOZ,FABIO LINCOLN FERREIRA DE SANTANA
AS VEZES PENSO,T-039.497.718-4
VINI ZAMPIERI,PAULO VINICIUS ZAMPIERI
AS VEZES TENHO TANTO MEDO,T-040.149.331-9
PHILLIP LONG,FELIPE ALVES FERREIRA DA SILVA
AS VEZES TENTO TANTO MEDO,
AS VIDAS NEGRAS IMPORTAM,T-300.977.406-1
SHEVCHENKO,ROBSON DE OLIVEIRA RODRIGUES
ASAS DA VINGANÇA,T-316.010.104-8
ASK ME OUT,T-039.497.719-5
ASMITA DE VIRGEM: SACRIFÍCIO,
LEX CLASH,ALEX DE SOUZA SANTIAGO
ASMODEUS,T-330.191.313-9
ASPROS DE GÊMEOS: CAMINHANDO NA ESCURIDÃO,T-327.329.701-7
ASSALTANTE DE XERECA,T-305.268.133-7
CH DA ZO,CHARLLYSON LUIZ DO CARMO LIRA
ASSALTO NA ESQUINA,T-316.010.097-6
ASSASSINOS,T-330.774.827-8
ASSIM REINA O HOMEM,T-040.011.898-0
ASSIMÉTRICO,T-325.044.653-4
ASSIS,T-039.247.867-9
ASSOMBRAÇÃO DO SUBMUNDO,T-327.279.651-3
ASSOVIO,T-039.826.378-9
ASTA E NOELLE: AQUI ROLA MAGIA II,T-325.816.090-2
ASTERIX,
ASTROLOGIA D'RUA,T-317.794.246-6
ASTRONAUTA,T-306.794.336-2
ASTRONAUTA SERTANEJO,T-335.482.831-8
ASTRONAUTAS DO ASFALTO,
ASTROS E ESTRELAS,T-310.247.618-2
ASTÚCIA,
ATACK FORMEN,T-312.557.295-0
ATAQUE - INSTRUMENTAL,
ATE O FIM,T-042.023.019-8
ATE VOCE PASSAR,T-039.517.145-5
ATEMPORAL,
ATITUDE ZERO,
ATIVANDO MODO RATO,
ATIVEI O MODO RATÃO,
ATIVIDADE NA LAJE,T-039.285.654-0
ATLAS,T-039.947.950-5
ATLAS,T-327.329.680-9
ATLETAS DE KISPO,T-930.563.450-8
ATLÂNTICO,T-328.725.712-5
ATLÉTICO CONCÓRDIA,T-312.557.161-7
ATLÉTICO TERMIR,T-315.906.857-8
ATO 2,T-317.794.245-5
ATO 5,T-317.794.244-4
ATOANAGAROA,
ATOM,
ATOMIC NIGHTMARE,T-308.121.955-4
ATRAÇÃO DA FESTA,T-335.521.810-5
ATÉ A ONDA ACABAR,T-308.114.558-2
ATÉ A ONDA ACABAR (REMIX),T-310.457.785-3
ATÉ AS TAMPA,T-040.429.658-7
ATÉ CHEGAR O CARNAVAL,T-305.214.264-6
ATÉ EMBAIXO,T-305.217.773-4
ATÉ ENLOUQUECER,T-310.457.143-5
ATÉ FICARMOS ALTOS,T-315.958.051-1
ATÉ MAIS,T-307.004.955-3
ATÉ ME TORNAR HOKAGE,
ATÉ O CAROÇO,T-316.180.983-8
ATÉ O CÉU,T-333.819.469-3
ATÉ O OSSO,
ATÉ O ÚLTIMO HOMEM,T-327.396.802-4
ATÉ QUANDO,T-040.344.099-2
ATÉ QUEBRAR (CHIGIRI),T-334.542.338-9
ATÉ QUEBRAR A CAMA 2.0,
ATÉ TE SALVAR - TAKEMICHI: TOKYO REVENGERS,
ATÉ UMAZÓRA,T-324.606.269-7
AUBREY (OMORI),T-321.651.433-5
AUCTION,T-040.448.240-1
AULA DE GEOGRAFIA,T-310.338.193-3
AULA NA SENTADA,T-304.709.734-3
AURAS,
AURAS REMAKE,
AURORA,
AURORA BOREAL,T-931.652.334-9
AUTO AJUDA,T-039.497.716-2
AUTO DESTRUICAO,T-039.550.401-4
AUTO-AFIRMAÇÃO,
AUTO-REFERENCIAL BLUES,T-322.966.986-3
AUTOFAGIA,T-302.003.951-0
AUTOGUERRILHA,T-316.010.096-5
AUTOMAT,T-301.567.106-0
AUTOMOTIVO DARK,
AUTOMOTIVO JUDAS,T-324.578.950-4
AUTOMOTIVO MELODIA DO TERROR KIKA KIKA,T-321.654.242-2
AUTOMOTIVO MELÓDICO,T-324.472.378-8
AUTOMOTIVO OUTSIDE,T-324.588.554-1
AUTOMOTIVO POTOKI TE BOTO E TE TACO,T-327.279.629-5
AUTOMOTIVO SACODE BAILE,
AUTOMOTIVO SOLITUDE,T-322.597.198-8
